<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,60,20200801,010000,345.6100000,349.7400000,344.9400000,347.8300000,10073
GDAX.ETH-USD,60,20200801,020000,347.8200000,348.3900000,344.0400000,344.1200000,8297
GDAX.ETH-USD,60,20200801,030000,344.0700000,346.9900000,343.2300000,346.8600000,7456
GDAX.ETH-USD,60,20200801,040000,346.8600000,347.9900000,344.1100000,344.4900000,6814
GDAX.ETH-USD,60,20200801,050000,344.5400000,346.7800000,343.7500000,345.8200000,5416
GDAX.ETH-USD,60,20200801,060000,345.8300000,348.0000000,345.4400000,346.9700000,6114
GDAX.ETH-USD,60,20200801,070000,346.9700000,353.1600000,345.7800000,352.5800000,13728
GDAX.ETH-USD,60,20200801,080000,352.6100000,355.2500000,350.5400000,354.3600000,13880
GDAX.ETH-USD,60,20200801,090000,354.3100000,358.6900000,353.8500000,356.2200000,15576
GDAX.ETH-USD,60,20200801,100000,356.2100000,358.0000000,355.0000000,356.4200000,8048
GDAX.ETH-USD,60,20200801,110000,356.3800000,356.9200000,354.1300000,355.2500000,5883
GDAX.ETH-USD,60,20200801,120000,355.2500000,357.6400000,355.2400000,357.1800000,6328
GDAX.ETH-USD,60,20200801,130000,357.1800000,360.8200000,356.2200000,359.7000000,7098
GDAX.ETH-USD,60,20200801,140000,359.7000000,360.2000000,351.7000000,355.2100000,8614
GDAX.ETH-USD,60,20200801,150000,355.2300000,356.7900000,353.3500000,356.5300000,4010
GDAX.ETH-USD,60,20200801,160000,356.5300000,357.7600000,355.8900000,357.4900000,6960
GDAX.ETH-USD,60,20200801,170000,357.3500000,357.4300000,352.9500000,353.9500000,7488
GDAX.ETH-USD,60,20200801,180000,353.9600000,357.4200000,353.6300000,356.6000000,5047
GDAX.ETH-USD,60,20200801,190000,356.5600000,358.5000000,356.0000000,358.4000000,6525
GDAX.ETH-USD,60,20200801,200000,358.3900000,364.5000000,358.0600000,362.7200000,17901
GDAX.ETH-USD,60,20200801,210000,362.7400000,374.2700000,362.7200000,374.1200000,27883
GDAX.ETH-USD,60,20200801,220000,374.1200000,374.3900000,367.2000000,372.3000000,15762
GDAX.ETH-USD,60,20200801,230000,372.3100000,389.8100000,372.3100000,384.5100000,45530
GDAX.ETH-USD,60,20200802,000000,384.3500000,388.7700000,383.1800000,386.8700000,20664
GDAX.ETH-USD,60,20200802,010000,386.7000000,394.0000000,384.5000000,385.2400000,24330
GDAX.ETH-USD,60,20200802,020000,385.2300000,387.7900000,379.0300000,387.7700000,18987
GDAX.ETH-USD,60,20200802,030000,387.7700000,388.7500000,384.4600000,387.4000000,9929
GDAX.ETH-USD,60,20200802,040000,387.4000000,392.3300000,386.0000000,388.7400000,12147
GDAX.ETH-USD,60,20200802,050000,388.7300000,399.7000000,388.3600000,399.7000000,25123
GDAX.ETH-USD,60,20200802,060000,399.5500000,399.7100000,395.0000000,397.7000000,13308
GDAX.ETH-USD,60,20200802,070000,397.6300000,408.4000000,395.7200000,407.8700000,26061
GDAX.ETH-USD,60,20200802,080000,407.5300000,415.0000000,325.7500000,373.4700000,151517
GDAX.ETH-USD,60,20200802,090000,373.1400000,386.9700000,365.0300000,370.5000000,58824
GDAX.ETH-USD,60,20200802,100000,370.5100000,375.0000000,363.9900000,373.7100000,46251
GDAX.ETH-USD,60,20200802,110000,373.7400000,383.4300000,371.6600000,380.3000000,38625
GDAX.ETH-USD,60,20200802,120000,380.2300000,381.7800000,373.6400000,375.6500000,7051
GDAX.ETH-USD,60,20200802,130000,375.4600000,378.2300000,372.0000000,378.0700000,6958
GDAX.ETH-USD,60,20200802,140000,378.0700000,378.8900000,369.4900000,372.6700000,9251
GDAX.ETH-USD,60,20200802,150000,372.7100000,373.7800000,351.1100000,361.7600000,25592
GDAX.ETH-USD,60,20200802,160000,361.7400000,368.0700000,357.8200000,359.0500000,15474
GDAX.ETH-USD,60,20200802,170000,359.0500000,366.6700000,358.6300000,365.5800000,10027
GDAX.ETH-USD,60,20200802,180000,365.5800000,372.6200000,361.5600000,369.1700000,12998
GDAX.ETH-USD,60,20200802,190000,369.2400000,371.9800000,367.5100000,368.5700000,14220
GDAX.ETH-USD,60,20200802,200000,368.5700000,383.0800000,368.3300000,382.1700000,15012
GDAX.ETH-USD,60,20200802,210000,382.1700000,389.0000000,382.0400000,385.0400000,21840
GDAX.ETH-USD,60,20200802,220000,385.0300000,386.7000000,382.1800000,385.6500000,8456
GDAX.ETH-USD,60,20200802,230000,385.6600000,387.2600000,374.0200000,379.5200000,19478
GDAX.ETH-USD,60,20200803,000000,379.5300000,380.3100000,372.7100000,373.1900000,8757
GDAX.ETH-USD,60,20200803,010000,373.2000000,378.8300000,369.4700000,377.7400000,10316
GDAX.ETH-USD,60,20200803,020000,377.7400000,381.3400000,372.2500000,373.7100000,7955
GDAX.ETH-USD,60,20200803,030000,373.7000000,376.1600000,368.3300000,372.2100000,7923
GDAX.ETH-USD,60,20200803,040000,372.1900000,379.3200000,366.3400000,377.9400000,13163
GDAX.ETH-USD,60,20200803,050000,377.9800000,383.9300000,377.9700000,379.7300000,13194
GDAX.ETH-USD,60,20200803,060000,379.7100000,386.0000000,379.6600000,383.8200000,5781
GDAX.ETH-USD,60,20200803,070000,383.7000000,384.9700000,378.1800000,379.6500000,4525
GDAX.ETH-USD,60,20200803,080000,379.7000000,382.8500000,379.7000000,381.3100000,4218
GDAX.ETH-USD,60,20200803,090000,381.4000000,384.4800000,379.2500000,384.4800000,5957
GDAX.ETH-USD,60,20200803,100000,384.4700000,386.7400000,382.3900000,384.0600000,7739
GDAX.ETH-USD,60,20200803,110000,384.2200000,387.3500000,383.0000000,384.9700000,5182
GDAX.ETH-USD,60,20200803,120000,384.9600000,386.4000000,381.5700000,381.6500000,4000
GDAX.ETH-USD,60,20200803,130000,381.6500000,384.5700000,380.2700000,380.4900000,2865
GDAX.ETH-USD,60,20200803,140000,380.3800000,385.7500000,380.2700000,385.6100000,3616
GDAX.ETH-USD,60,20200803,150000,385.5700000,392.1200000,383.6800000,390.8700000,16055
GDAX.ETH-USD,60,20200803,160000,390.8700000,391.5900000,386.5200000,389.7400000,11497
GDAX.ETH-USD,60,20200803,170000,389.6600000,395.0000000,389.3800000,393.7100000,13839
GDAX.ETH-USD,60,20200803,180000,393.7100000,399.6900000,392.1200000,394.5300000,18562
GDAX.ETH-USD,60,20200803,190000,394.5500000,397.4300000,388.9500000,394.2600000,17320
GDAX.ETH-USD,60,20200803,200000,394.2500000,398.5000000,389.8000000,390.6600000,16761
GDAX.ETH-USD,60,20200803,210000,390.7500000,396.5700000,389.5000000,395.4700000,9835
GDAX.ETH-USD,60,20200803,220000,395.5800000,396.6000000,393.0000000,395.5100000,11937
GDAX.ETH-USD,60,20200803,230000,395.5300000,395.5300000,391.5000000,394.1100000,9856
GDAX.ETH-USD,60,20200804,000000,394.1300000,395.0000000,389.7100000,391.0000000,9752
GDAX.ETH-USD,60,20200804,010000,390.9900000,393.4600000,382.5600000,384.5000000,8480
GDAX.ETH-USD,60,20200804,020000,384.8500000,391.0000000,380.3700000,384.1500000,14110
GDAX.ETH-USD,60,20200804,030000,384.1500000,387.4600000,380.0800000,386.2200000,18339
GDAX.ETH-USD,60,20200804,040000,386.2700000,403.6400000,384.0300000,400.1900000,31358
GDAX.ETH-USD,60,20200804,050000,400.2000000,400.9900000,396.7400000,398.0200000,21161
GDAX.ETH-USD,60,20200804,060000,398.0200000,399.7700000,391.6600000,393.0800000,9182
GDAX.ETH-USD,60,20200804,070000,393.0900000,395.3800000,386.6600000,391.4300000,12369
GDAX.ETH-USD,60,20200804,080000,391.2800000,394.4400000,388.5100000,393.9100000,8782
GDAX.ETH-USD,60,20200804,090000,393.9000000,394.8600000,390.3500000,393.1200000,8359
GDAX.ETH-USD,60,20200804,100000,393.1600000,393.1700000,389.1100000,391.3500000,4036
GDAX.ETH-USD,60,20200804,110000,391.3500000,395.9000000,390.9500000,394.9400000,4556
GDAX.ETH-USD,60,20200804,120000,394.9700000,397.2100000,391.0700000,391.6600000,3732
GDAX.ETH-USD,60,20200804,130000,391.6200000,393.1000000,390.7400000,392.2600000,5180
GDAX.ETH-USD,60,20200804,140000,392.2300000,394.7700000,390.0800000,390.9400000,5064
GDAX.ETH-USD,60,20200804,150000,391.0600000,394.2400000,382.0000000,386.1100000,12583
GDAX.ETH-USD,60,20200804,160000,385.9900000,389.0300000,384.6100000,388.2500000,8541
GDAX.ETH-USD,60,20200804,170000,388.2500000,388.3800000,380.6700000,384.1600000,27082
GDAX.ETH-USD,60,20200804,180000,384.3400000,390.6400000,384.3400000,389.8200000,16126
GDAX.ETH-USD,60,20200804,190000,389.9600000,391.8600000,387.7200000,390.5500000,13245
GDAX.ETH-USD,60,20200804,200000,390.6000000,392.4900000,384.7200000,386.8400000,15373
GDAX.ETH-USD,60,20200804,210000,386.7800000,390.4200000,386.2300000,390.0400000,4182
GDAX.ETH-USD,60,20200804,220000,390.0500000,390.7300000,386.7400000,387.5900000,5319
GDAX.ETH-USD,60,20200804,230000,387.5700000,389.2500000,385.5500000,386.9700000,6185
GDAX.ETH-USD,60,20200805,000000,386.9700000,390.8000000,386.9700000,388.0500000,8989
GDAX.ETH-USD,60,20200805,010000,388.0500000,392.9900000,387.0800000,391.9000000,6449
GDAX.ETH-USD,60,20200805,020000,391.9100000,393.2000000,390.5100000,393.1000000,4643
GDAX.ETH-USD,60,20200805,030000,393.1500000,394.5100000,388.0000000,389.8200000,8494
GDAX.ETH-USD,60,20200805,040000,389.7600000,392.2400000,385.4700000,388.6800000,8481
GDAX.ETH-USD,60,20200805,050000,388.6700000,388.8500000,383.8600000,388.5500000,6355
